symbol,signal,trend,btc_state,volatility,regime,confidence,entry,sl,tp,rr,result,rr_result,rsi,macd,macd_signal,atr,ema_distance,volume_spike,orderflow_bias,orderflow_strength,liquidity_signal,liquidity_strength
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,80714.49,80571.81,81142.53,3.0,OPEN,0.0,48.28,1.3604,26.9824,90.4529,-0.0374,2.56,0,50.0,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,80630.4,80491.785,81046.245,3.0,OPEN,0.0,42.22,-23.2823,-2.7732,90.2955,-0.0932,0.71,-1,64.25,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81340.62,80998.73,82366.29,3.0,LOSS,-1.0,63.8,132.4212,102.5939,133.9493,0.2663,1.01,1,63.24,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81390.4,81048.51,82416.07,3.0,LOSS,-1.0,65.56,137.0103,109.4772,135.0794,0.2961,1.33,1,64.88,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81381.31,81039.42,82406.98,3.0,LOSS,-1.0,64.94,138.3192,115.2456,133.873,0.2579,0.76,1,64.5,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81476.18,81092.735,82626.515,3.0,LOSS,-1.0,68.3,145.3365,121.2637,141.1042,0.3384,1.76,1,66.78,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81451.97,81068.525,82602.305,3.0,LOSS,-1.0,66.55,147.2467,126.4603,137.9618,0.2794,0.46,1,66.74,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81355.26,81031.705,82325.925,3.0,LOSS,-1.0,59.93,139.3506,129.0384,136.5824,0.1455,0.73,1,63.37,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81259.58,80944.17,82205.81,3.0,LOSS,-1.0,54.18,123.9436,128.0194,138.4029,0.0253,0.53,1,60.61,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81271.96,80956.55,82218.19,3.0,LOSS,-1.0,54.79,111.4476,124.7051,133.0063,0.0366,0.34,1,62.32,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81360.01,81133.655,82039.075,3.0,LOSS,-1.0,58.93,107.4112,121.2463,140.3123,0.131,0.74,1,67.09,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,LOW_VOLATILITY,TRENDING,81,81481.36,81263.805,82134.025,3.0,LOSS,-1.0,63.85,112.7051,119.5381,139.4214,0.2531,0.95,1,69.52,0,0
